System 1 Point,System 2 Point,Flux,Distance
2.22222222222,3.35294117647,0_1_2_3,1.13071895425
2.77777777778,3.25762527233,0_1_2_4,0.479847494553
0.555555555556,0.558823529412,0_1_6_2,0.00326797385621
0.0,0.0,0_1_6_2_3_5,0.0
0.0,0.0,0_1_6_2_4_5,0.0
0.0,0.0,0_1_2_3_4_5,0.0
0.0,0.0,0_1_6_2_3_4,0.0
0.0,0.0,0_1_6_2_4,0.0
0.0,0.0,0_1_6_2_3_4_5,0.0
0.0,0.0,0_1_2_4_5,0.0
0.0,0.0,0_1_6_2_3,0.0
1.11111111111,1.11764705882,0_1_2_3_5,0.00653594771242
0.555555555556,0.654139433551,0_1_2_3_4,0.0985838779956
1.11111111111,1.67647058824,0_1_2,0.565359477124
1.66666666667,2.32734204793,2_3_4,0.660675381264
1.11111111111,1.11764705882,2_3_5,0.00653594771242
1.11111111111,1.30501089325,2_4_5,0.193899782135
2.77777777778,3.8197167756,2_4,1.04193899782
0.0,-0.187363834423,2_3_4_5,0.187363834423
