System 1 Point,System 2 Point,Flux,Distance
0.148148148148,0.176470588235,0_1_2_3,0.0283224400871
0.185185185185,0.176652142338,0_1_2_4,0.00853304284677
0.037037037037,0.0294117647059,0_1_6_2,0.00762527233115
0.0,0.0,0_1_6_2_3_5,0.0
0.0,0.0,0_1_6_2_4_5,0.0
0.0,0.0,0_1_2_3_4_5,0.0
0.0,0.0,0_1_6_2_3_4,0.0
0.0,0.0,0_1_6_2_4,0.0
0.0,0.0,0_1_6_2_3_4_5,0.0
0.0,0.0,0_1_2_4_5,0.0
0.0,0.0,0_1_6_2_3,0.0
0.0740740740741,0.0588235294118,0_1_2_3_5,0.0152505446623
0.037037037037,0.0292302106028,0_1_2_3_4,0.00780682643428
0.0740740740741,0.0882352941176,0_1_2,0.0141612200436
0.111111111111,0.125090777052,2_3_4,0.0139796659405
0.0740740740741,0.0588235294118,2_3_5,0.0152505446623
0.0740740740741,0.0660856935367,2_4_5,0.0079883805374
0.185185185185,0.198438634713,2_4,0.013253449528
0.0,-0.00726216412491,2_3_4_5,0.00726216412491
