System 1 Point,System 2 Point,Flux,Distance
0.108689655172,0.108689655172,0_1_2_3,0.0
0.0532413793103,0.0532413793103,0_1_2_4,0.0
0.00174712643678,0.00174712643678,0_1_2_5,0.0
0.612781609195,0.612781609195,0_1,0.0
0.000275862068966,0.000275862068966,0_1_2_5_6,0.0
0.0,0.0,0_1_2_3_4_5_6,0.0
0.0,0.0,0_1_6_2_3_5,0.0
9.19540229885e-05,9.19540229885e-05,0_1_6_2_3_4,0.0
0.00101149425287,0.00101149425287,0_1_6_2,0.0
0.0,0.0,0_1_6_2_4_5,0.0
0.000367816091954,0.000367816091954,0_1_2_3_4_5,0.0
0.000827586206897,0.000827586206897,0_1_2_3_5_6,0.0
0.000551724137931,0.000551724137931,0_1_6_2_4,0.0
0.0,0.0,0_1_6_2_5,0.0
0.00101149425287,0.00101149425287,0_1_2_4_5,0.0
0.00128735632184,0.00128735632184,0_1_6_2_3,0.0
0.00588505747126,0.00588505747126,0_1_6,0.0
0.000183908045977,0.000183908045977,0_1_2_4_5_6,0.0
0.00450574712644,0.00450574712644,0_1_2_3_5,0.0
0.00910344827586,0.00910344827586,0_1_2_3_4,0.0
0.118068965517,0.118068965517,0_1_2,0.0
0.0,0.0,0_1_6_2_3_4_5,0.0
0.0,0.0,2_3_4_5_6,0.0
9.19540229885e-05,9.19540229885e-05,2_4_5_6,0.0
0.000183908045977,0.000183908045977,2_3_5_6,0.0
0.00487356321839,0.00487356321839,2_4_5,0.0
0.00579310344828,0.00579310344828,2_5,0.0
0.0468965517241,0.0468965517241,2_4,0.0
0.000735632183908,0.000735632183908,2_3_4_5,0.0
0.00873563218391,0.00873563218391,2_3_4,0.0
0.0125977011494,0.0125977011494,2_3_5,0.0
0.000459770114943,0.000459770114943,2_5_6,0.0
